,Open,High,Low,Close,Volume 
12/5/2020 0:00,4.999,5.195,4.876,5.185,5398595.6
12/6/2020 0:00,5.185,5.208,5.002,5.132,4433815.4
12/7/2020 0:00,5.133,5.16,5.01,5.06,4273470.4
12/8/2020 0:00,5.06,5.075,4.695,4.74,7513347.8
12/9/2020 0:00,4.74,4.938,4.616,4.87,8663731.1
12/10/2020 0:00,4.871,4.918,4.74,4.8,4622098.7
12/11/2020 0:00,4.802,4.815,4.54,4.612,5967989.9
12/12/2020 0:00,4.614,4.796,4.606,4.738,4918743.1
12/13/2020 0:00,4.738,4.998,4.724,4.897,6843704.3
12/14/2020 0:00,4.896,5,4.824,4.896,5389103.6
12/15/2020 0:00,4.896,5.29,4.841,5.241,10679386.5
12/16/2020 0:00,5.241,5.386,5.113,5.372,11642308.1
12/17/2020 0:00,5.372,5.775,5.259,5.35,21169940.1
12/18/2020 0:00,5.35,5.518,5.253,5.365,10031010.9
12/19/2020 0:00,5.365,5.59,5.275,5.343,8289631.5
12/20/2020 0:00,5.344,5.45,5.08,5.19,9485680.4
12/21/2020 0:00,5.191,5.457,4.782,4.877,15555773.8
12/22/2020 0:00,4.879,5.181,4.801,5.154,13992355.8
12/23/2020 0:00,5.153,5.197,4.582,4.717,13136426.7
12/24/2020 0:00,4.717,5.207,4.631,5.115,15103613.3
12/25/2020 0:00,5.114,5.29,5.04,5.212,9655072.7
12/26/2020 0:00,5.213,5.295,5.076,5.193,9129517.1
12/27/2020 0:00,5.195,5.435,4.938,5.149,22121978.6
12/28/2020 0:00,5.151,6.737,5.111,6.608,49271746
12/29/2020 0:00,6.608,7.73,6.2,7.554,65605380.9
12/30/2020 0:00,7.555,7.69,7.057,7.244,43369301.8
12/31/2020 0:00,7.244,9.532,7.17,9.264,59255089.8
1/1/2021 0:00,9.264,9.445,8.097,8.287,50583028.7
1/2/2021 0:00,8.287,9.876,7.888,9.213,64951391.2
1/3/2021 0:00,9.213,10.558,8.862,10.187,57323818.3
1/4/2021 0:00,10.188,10.584,8.666,9.524,47943722.2
1/5/2021 0:00,9.524,10.09,9.005,9.727,28997019.7
1/6/2021 0:00,9.736,10.55,9.463,10.082,30740975.8
1/7/2021 0:00,10.089,10.757,9.35,9.66,32630386.9
1/8/2021 0:00,9.663,9.846,8.8,9.303,25356450.5
1/9/2021 0:00,9.306,9.866,9.051,9.756,17809407.2
1/10/2021 0:00,9.762,10.036,8.635,9.306,22581383.8
1/11/2021 0:00,9.306,9.341,7.08,8.269,49149219.2
1/12/2021 0:00,8.262,8.717,7.927,8.299,17754425.6
1/13/2021 0:00,8.301,11.423,7.98,10.955,41110779.5
1/14/2021 0:00,10.964,14.799,10.9,14.5,65840041.9
1/15/2021 0:00,14.53,15.021,11.771,13.158,69143443.5
