,Open,High,Low,Close,Volume
4/2/2021 0:00,383.036,424.483,378.093,421.565,395749
4/3/2021 0:00,421.629,427.253,376.7,379.916,407572.6
4/4/2021 0:00,379.665,412.354,370,403.704,283679.5
4/5/2021 0:00,403.686,409.5,383.696,399.006,283617.4
4/6/2021 0:00,399.256,415.95,379.381,384.046,535094.9
4/7/2021 0:00,384.076,388.487,340,349.609,559197.8
4/8/2021 0:00,349.406,371.56,347.313,371.178,328446.5
4/9/2021 0:00,371.151,375,357,359.59,224638.8
4/10/2021 0:00,359.584,376.919,356.7,367.812,288324.3
4/11/2021 0:00,367.875,374.476,361,372.519,214583.6
4/12/2021 0:00,372.665,418.799,365,398.331,778515.5
4/13/2021 0:00,398.346,422.27,386.043,399.946,674307
4/14/2021 0:00,400.078,432.165,385.234,428.919,868180.9
4/15/2021 0:00,429.087,493.331,423.755,466.361,1060768.8
4/16/2021 0:00,466.416,471.69,420,441.706,667271.6
4/17/2021 0:00,441.704,464.106,419.122,425.825,427034.4
4/18/2021 0:00,425.824,429.982,227.699,382.106,1918019.7
4/19/2021 0:00,382.002,399.002,340.819,344.495,1165642.8
4/20/2021 0:00,344.538,372.348,310.96,360.51,717439.2
4/21/2021 0:00,360.548,385.113,341.424,351.373,426342.4
4/22/2021 0:00,351.16,414.919,343.086,360.042,757035.8
4/23/2021 0:00,359.952,372.516,303,344.026,814670.4
4/24/2021 0:00,344.075,344.574,313.851,317.323,385029.4
4/25/2021 0:00,317.342,354.093,313.1,348.845,426656
4/26/2021 0:00,348.864,409.502,345.851,405.812,637979.7
4/27/2021 0:00,405.949,450.688,394.149,441.081,629976.9
4/28/2021 0:00,441.111,487.868,422.7,461.005,814654.5
4/29/2021 0:00,460.855,463.5,423.515,439.447,454699.6
4/30/2021 0:00,439.579,457.52,429.257,445.169,398309.4
5/1/2021 0:00,444.98,513.676,436.422,505.889,638776.6
5/2/2021 0:00,505.888,510,474.001,483.153,445470.7
5/3/2021 0:00,483.007,536.739,481.843,519.246,582248.4
5/4/2021 0:00,519.193,521.104,440,448.418,859375.4
5/5/2021 0:00,448.328,486.39,440.006,481.675,448727.1
5/6/2021 0:00,481.622,483.27,440.107,453.478,488506.6
5/7/2021 0:00,453.466,468.361,431.932,445.998,387924.5
5/8/2021 0:00,445.899,476.987,440.881,466.888,356918.4
5/9/2021 0:00,466.904,469.666,440.958,459.835,302621.5
5/10/2021 0:00,459.86,484.225,400,433.354,501423.4
5/11/2021 0:00,433.659,459.4,417.448,457.5,342948.6
5/12/2021 0:00,457.45,599.8,455.94,515.2,2376284.6
5/13/2021 0:00,514.56,622.1,450,509.23,2157163.1
5/14/2021 0:00,509,635.95,506.09,595.41,1067785.6
5/15/2021 0:00,595.56,611.49,506.77,517.53,787783.8
5/16/2021 0:00,517.35,563.62,479,528.24,721944.4
5/17/2021 0:00,528.11,594.69,470.34,573.03,1308749.4
5/18/2021 0:00,573.09,666.8,562.42,627.87,1457028.8
5/19/2021 0:00,627.99,649.41,253.56,411.69,4467262.6
5/20/2021 0:00,411.61,509.27,350.05,467.13,5080061.8
5/21/2021 0:00,467.22,494.96,307.72,372.65,1121823.7
5/22/2021 0:00,372.49,382.23,309.05,334.13,922886.9
5/23/2021 0:00,334.19,350.5,207.15,292.82,1603327.2
5/24/2021 0:00,292.77,397.44,287.15,387.41,972045.5
5/25/2021 0:00,387.4,404.97,320.78,370.56,833453.6
5/26/2021 0:00,370.61,418.9,357.07,415.06,600471.2
5/27/2021 0:00,415.07,415.59,364.54,371.88,545711.7
5/28/2021 0:00,371.91,377.13,303.57,320.05,623804.4
5/29/2021 0:00,320.21,335.81,280.3,298.02,252141.7386
5/30/2021 0:00,297.87,339.3,281.43,324.38,188588.2838
5/31/2021 0:00,324.38,385.41,304.36,382.44,338881.0828
6/1/2021 0:00,382.4,393.56,360.7,373.13,311375.3466
6/2/2021 0:00,372.85,402.3,361.51,384.24,208923.1678
6/3/2021 0:00,384.23,409.38,376.16,398.36,177686.9452
6/4/2021 0:00,398.19,398.86,346.42,373.11,229261.9947
6/5/2021 0:00,373.11,391.7,347.03,356.22,178930.1369
6/6/2021 0:00,356.24,368.46,354.49,365.48,68754.6635
6/7/2021 0:00,365.73,387.76,331.54,334.54,182850.3444
6/8/2021 0:00,334.51,339.21,296.37,329.3,213810.623
6/9/2021 0:00,329.31,343.89,305.57,338.85,188262.9676
6/10/2021 0:00,338.99,339.99,303.84,310.29,118220.4712
6/11/2021 0:00,310.41,315.2,280.52,285.33,128679.1619
6/12/2021 0:00,285.53,289.37,265.68,278.49,136891.9389
6/13/2021 0:00,278.55,318.18,266.68,316.27,182230.2044
6/14/2021 0:00,316.3,336.49,308.57,318.19,180494.1762
6/15/2021 0:00,318.2,327.48,306.78,311.78,106084.0846
6/16/2021 0:00,311.69,313.98,287.35,290.71,95598.8535
6/17/2021 0:00,290.72,305.49,285.16,293.21,69912.576
6/18/2021 0:00,293.25,293.77,252.74,265.11,146028.0676
6/19/2021 0:00,265.08,270.1,254.38,254.59,80174.9178
6/20/2021 0:00,254.68,277.24,242.07,272.67,148498.3831
6/21/2021 0:00,272.85,275.75,206,212.64,299648.8868
6/22/2021 0:00,212.69,224,170.1,206.12,572892.022
6/23/2021 0:00,206.14,229.65,196.9,207.65,365959.3891
6/24/2021 0:00,207.53,218.38,193.08,211.28,223463.3788
6/25/2021 0:00,211.37,214.86,185.12,186.86,192411.9939
6/26/2021 0:00,186.76,193.37,176.32,187.29,163389.7262
6/27/2021 0:00,187.17,203.29,183.06,202.87,206406.7783
6/28/2021 0:00,202.93,233.22,200.62,227.37,261935.838
6/29/2021 0:00,227.32,253.32,226.04,238.22,280295.6893
6/30/2021 0:00,238.03,252.58,219.71,251.08,273789.0701
7/1/2021 0:00,250.96,253.02,227.22,230.17,234518.7354
7/2/2021 0:00,230.18,234.96,215.62,234.12,183917.2291
7/3/2021 0:00,234.05,267.08,227.75,259.42,275045.4219
7/4/2021 0:00,259.41,289.9,248.03,277,287632.6323
7/5/2021 0:00,277,318.4,260.42,308.22,595969.2872
7/6/2021 0:00,308.1,347.53,308.06,316.49,680686.4398
7/7/2021 0:00,316.49,331.7,310.06,314.83,301732.4367
7/8/2021 0:00,314.76,315.68,275.96,291.36,541972.3649
7/9/2021 0:00,291.34,314.72,276,303,414420.679
7/10/2021 0:00,303.07,311.87,288.21,294.7,181454.0335
7/11/2021 0:00,294.66,311,286.03,305.09,171310.8925
7/12/2021 0:00,305.1,321.95,291.18,296.73,249947.8467
